"source_system_id","source_system_nm","source_system_desc","file_nm","file_source_cd","security_priority_nbr","price_priority_nbr","enable_recon_flg","recon_pos_delta_flg","recon_bal_delta_flg","firm_id","active_flg","batch_dt","created_program_nm","created_user_nm","created_ts","modified_program_nm","modified_user_nm","modified_ts"
"4","0189","BPS FHP 0001","FHP","BPS","2","2","f","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:24.459437","","",""
"2","0189","BPS HSE 0001","HPA","BPS","3","4","f","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:24.69952","","",""
"1","MANU","MANUAL","MAN","BPS","1","1","f","f","f","1","t","","SEED","UPGRADE","2015-12-18 08:03:47.798901","","",""
"6","0284","BPS HSE 0002","HPA","BPS","3","5","f","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:30.579904","","",""
"8","STD","BPS BAS","STD","BPS","5","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 08:03:47.558551","","",""
"3","0189","BPS BAS 0001","MSE","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:25.399399","","",""
"3","0189","BPS BAS 0001","MSA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:28.939646","","",""
"3","0189","BPS BAS 0001","UCA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:27.599643","","",""
"3","0189","BPS BAS 0001","H2B","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:27.159536","","",""
"3","0189","BPS BAS 0001","HOA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:26.499472","","",""
"3","0189","BPS BAS 0001","B2D","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:27.380471","","",""
"3","0189","BPS BAS 0001","MSL","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:28.039565","","",""
"3","0189","BPS BAS 0001","MSG","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:29.61969","","",""
"3","0189","BPS BAS 0001","HIA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:26.059563","","",""
"3","0189","BPS BAS 0001","B2B","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:29.159641","","",""
"3","0189","BPS BAS 0001","HJA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:26.719647","","",""
"3","0189","BPS BAS 0001","B2E","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:28.719646","","",""
"3","0189","BPS BAS 0001","MSK","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:26.279552","","",""
"3","0189","BPS BAS 0001","CSSDA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:27.819763","","",""
"3","0189","BPS BAS 0001","NRB","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:25.179401","","",""
"3","0189","BPS BAS 0001","MSF","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:26.939542","","",""
"3","0189","BPS BAS 0001","B2F","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:29.379642","","",""
"3","0189","BPS BAS 0001","MSB","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:28.259536","","",""
"3","0189","BPS BAS 0001","REORG","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:25.619425","","",""
"3","0189","BPS BAS 0001","BAB","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:28.479772","","",""
"3","0189","BPS BAS 0001","MSC","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:24.939398","","",""
"3","0189","BPS BAS 0001","MSH","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2016-01-18 07:48:00.954009","","",""
"3","0189","BPS BAS 0001","H2A","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:25.839685","","",""
"3","0189","BPS BAS 0001","MMA","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2017-08-19 21:21:17.270843","","",""
"3","0189","BPS BAS 0001","MSI","BPS","4","6","t","f","f","1","t","","SEED","UPGRADE","2018-05-12 21:28:20.14338","","",""
"5","0284","BPS BAS 0002","MSL","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:33.922153","","",""
"5","0284","BPS BAS 0002","B2E","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:34.583033","","",""
"5","0284","BPS BAS 0002","UCA","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:33.461897","","",""
"5","0284","BPS BAS 0002","NRB","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:31.023579","","",""
"5","0284","BPS BAS 0002","MSG","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:35.462133","","",""
"5","0284","BPS BAS 0002","MSK","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:32.121832","","",""
"5","0284","BPS BAS 0002","HIA","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:31.90189","","",""
"5","0284","BPS BAS 0002","B2B","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:35.022168","","",""
"5","0284","BPS BAS 0002","REORG","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:31.461777","","",""
"5","0284","BPS BAS 0002","MSF","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:32.802196","","",""
"5","0284","BPS BAS 0002","MSB","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:34.142009","","",""
"5","0284","BPS BAS 0002","CSSDA","BPS","4","7","t","f","f","1","t","","SEED","UPGRADE","2015-12-18 06:58:33.701895","","",""
