property_id,property_type_cd,property_desc,firm_id,active_flg,created_program,created_user,created_ts,modified_program,modified_user,modified_ts
41,FS,TRAN_AMTS_BASE_CCY_REP,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893828,,,
105,FS,ASHLAND_PERIOD_TYPES,1,t,MANUAL,UPGRADE,2017-11-11 21:55:55.733359,,,
9,FS,ACC_OUTLIER_THRESHOLD_ERR,1,t,MANUAL,ROHINIK,2017-02-11 12:36:33.893455,SEED,UPGRADE,2017-02-11 12:36:33.893455
73,FS,REPORT_ERR_MSG,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893455,,,
54,FS,BENPRICE_USAGE_FLG,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893806,,,
22,FS,PTYP_WS_CUSIP_3,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893509,,,
86,FS,DNP_ACCOUNT,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893509,,,
61,FS,FIRM_CD,1,t,MANUAL,ROHINIK,2017-02-11 12:36:33.893556,,,
29,FS,RESTRICT_INCL,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893855,,,
93,FS,CHANGE_IN_VAL_REPORTING,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
64,FS,Primary Price Source,1,t,,,2017-02-11 12:36:33.894146,SEED,UPGRADE,2017-02-11 12:36:33.894146
32,FS,MIN_MV_TSHLD,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893427,,,
96,FS,EXTR_WEEKEND_SUP,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
10,FS,POS_OUTLIER_THRESHOLD_WARN,1,t,MANUAL,ROHINIK,2017-02-11 12:36:33.893523,SEED,UPGRADE,2017-02-11 12:36:33.893523
74,FS,INCL_ACTIVE_ACC,1,t,MANUAL,TRINADH,2017-02-11 12:36:33.893523,,,
42,FS,MA_UI_STD_PERIOD_TYPES,1,t,SEED,SUDHEERE,2017-02-11 12:36:33.893875,,,
106,FS,INCL_PREICP,1,t,SEED,UPGRADE,2017-11-11 21:55:55.733359,,,
19,FS,PRICE_SHELF_LIFE_FLAG,1,t,MANUAL,SAMBASIVA C,2017-02-11 12:36:33.893435,SEED,UPGRADE,2017-02-11 12:36:33.893435
83,FS,MSE_SHELF_LIFE_FLAG,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893435,,,
51,FS,MA_FEE_AMT_FLG,1,t,MANUAL,SAMBASIVAC,2017-02-11 12:36:33.894154,SEED,MA,2017-02-11 12:36:33.894154
115,FS,RESET_HOUSE_PRICE_AF,1,t,SEED,UPGRADE,2018-09-05 04:18:20.336046,,,
52,FS,Price_CF_ON_SOURCE,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893805,,,
20,FS,PTYP_WS_CUSIP_1,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893886,,,
84,FS,MSE_SHELF_LIFE_DAYS,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893886,,,
23,FS,PTYP_WS_CUSIP_4,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893596,,,
87,FS,TRAN_LOCK,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893596,,,
55,FS,ROLLING_ICP_USAGE_FLG,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.89439,,,
53,FS,Price_CF_OFF_SOURCE,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.89385,,,
21,FS,PTYP_WS_CUSIP_2,1,t,MANUAL,SBHARATH,2017-02-11 12:36:33.893837,,,
85,FS,ACC_STUB_UPLD,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893837,,,
16,FS,VOOB_THRESHOLD,1,t,MANUAL,ANAVEEN,2017-02-11 12:36:33.893811,SEED,UPGRADE,2017-02-11 12:36:33.893811
